TeamId;ES L1 LW;ES L1 C;ES L1 RW;ES L1 LD;ES L1 RD;ES L2 LW;ES L2 C;ES L2 RW;ES L2 LD;ES L2 RD;ES L3 LW;ES L3 C;ES L3 RW;ES L3 LD;ES L3 RD;ES L4 LW;ES L4 C;ES L4 RW;ES L4 LD;ES L4 RD;PP5on4 L1 LW;PP5on4 L1 C;PP5on4 L1 RW;PP5on4 L1 LD;PP5on4 L1 RD;PP5on4 L2 LW;PP5on4 L2 C;PP5on4 L2 RW;PP5on4 L2 LD;PP5on4 L2 RD;PP5on3 L1 LW;PP5on3 L1 C;PP5on3 L1 RW;PP5on3 L1 LD;PP5on3 L1 RD;PP5on3 L2 LW;PP5on3 L2 C;PP5on3 L2 RW;PP5on3 L2 LD;PP5on3 L2 RD;PP4on3 L1 F1;PP4on3 L1 F2;PP4on3 L1 LD;PP4on3 L1 RD;PP4on3 L2 F1;PP4on3 L2 F2;PP4on3 L2 LD;PP4on3 L2 RD;PK4on5 L1 F1;PK4on5 L1 F2;PK4on5 L1 LD;PK4on5 L1 RD;PK4on5 L2 F1;PK4on5 L2 F2;PK4on5 L2 LD;PK4on5 L2 LD;PK4on5 L3 F1;PK4on5 L3 F2;PK4on5 L3 LD;PK4on5 L3 LD;PK3on5 L1 F1;PK3on5 L1 LD;PK3on5 L1 RD;PK3on5 L2 F1;PK3on5 L2 LD;PK3on5 L2 LD;PK3on4 L1 F1;PK3on4 L1 LD;PK3on4 L1 RD;PK3on4 L2 F1;PK3on4 L2 LD;PK3on4 L2 LD;4on4 L1 F1;4on4 L1 F2;4on4 L1 LD;4on4 L1 RD;4on4 L2 F1;4on4 L2 F2;4on4 L2 LD;4on4 L2 LD;3on3 L1 F1;3on3 L1 LD;3on3 L1 RD;3on3 L2 F1;3on3 L2 LD;3on3 L2 LD;Shootout 1;Shootout 2;Shootout 3;Shootout 4;Shootout 5;Goalie 1;Goalie 2;Extra Attacker 1;Extra Attacker 2;
97;6015;2473;3967;4657;6408;8060;4848;4518;4612;7385;4664;7881;4785;8017;6571;6455;6567;7866;;;8060;2473;3967;7881;6408;4664;6567;4785;7866;4657;8060;2473;3967;7881;6408;4664;6567;4785;7866;4657;2473;3967;7881;6408;6567;4785;7866;4657;2473;4848;4657;6408;4518;6015;4612;7385;6455;7866;8017;6571;2473;4657;6408;4848;4612;7385;2473;4657;6408;4848;4612;7385;3967;2473;4657;6408;6015;4848;4612;7385;3967;2473;6408;6015;4848;4657;2473;7881;4848;3967;4785;7787;;2473;3967;
98;6515;4155;3829;6436;4639;5869;4707;6494;4822;5993;6368;4512;6569;6642;6618;4513;4845;8035;;;6515;4155;3829;6436;6642;6368;4845;6569;4513;4822;6515;4155;3829;6436;6642;6368;4845;6569;4513;4822;4155;6515;3829;6436;4513;6368;4845;6642;4707;3829;4822;4639;6494;5869;6436;5993;6515;6569;6642;6618;3829;4822;4639;4707;6436;5993;3829;4822;4639;4707;6436;5993;4155;6515;6436;4639;4707;3829;4822;5993;4155;6515;6436;4707;3829;4822;6515;6368;4155;6436;6569;6631;7426;6515;4155;
99;4597;6656;6597;6588;4447;4560;4440;5865;4687;6365;4487;9355;7413;4856;6414;7975;9246;6643;;;4487;6656;5865;4440;6365;4597;9355;7413;6643;4687;4487;6656;5865;4440;6365;4597;9355;7413;6643;4687;4487;6656;5865;6365;7413;4440;4597;4687;4597;4560;6588;4447;7975;6597;4687;6414;6656;9355;4856;6365;4597;6588;4447;4560;4687;6414;4597;6588;4447;4560;4687;6414;4560;4597;6588;4447;6597;6656;4687;6365;4560;4597;4447;4487;6656;6588;4597;4487;5865;9246;6656;4643;6581;4597;6597;
100;4450;9265;6396;6561;4414;5994;7884;3830;8032;7398;6464;6557;4438;8081;4553;7926;4557;;;;4450;9265;3830;6396;4414;5994;7884;4438;7398;4553;4450;9265;3830;6396;4414;5994;7884;4438;7398;4553;6396;3830;4438;4414;5994;4450;4553;7398;6464;6396;6561;4414;4438;3830;8032;7398;5994;4450;8081;4553;6396;6561;4414;6464;8032;7398;6396;6561;4414;6464;8032;7398;3830;6396;6561;4414;4450;4438;8032;7398;3830;6396;4414;4450;4438;7398;6396;4438;3830;9265;;4480;4629;6396;5994;
101;4611;6447;7820;8776;4474;5878;7428;6390;9482;8059;5904;6427;4773;7934;6544;5888;9349;;;;5878;6447;7820;4474;8059;5904;7428;4773;9349;9482;5878;6447;7820;4474;8059;5904;7428;4773;9349;9482;7428;6447;5878;4474;5904;7820;4773;8059;4611;6427;8776;6544;5888;6390;7934;4474;6447;7428;9482;8059;6427;8776;6544;4611;7934;4474;4611;8776;6544;6427;7934;4474;4611;6447;8776;4474;6427;7428;9482;8059;4611;6447;4474;6427;7428;8059;4474;4773;5878;5904;7820;7790;9386;6447;4611;
102;4568;5943;4572;4469;6501;6477;4098;6546;4886;7989;7399;8078;7379;7995;7410;8089;7309;;;;4098;5943;4572;4469;6501;7399;7309;;7989;7995;4098;5943;4572;4469;6501;7399;7309;;7989;7995;4572;5943;4098;4469;8089;7309;7989;6501;4568;8078;4469;7410;5943;6477;7995;6501;6546;4572;4886;7989;4568;4469;7410;8078;4886;6501;4568;4469;7410;8078;7995;6501;4572;5943;4469;6501;4568;4098;4886;7989;4572;5943;4469;4568;4098;6501;6477;8078;4469;7379;7309;4838;;5943;4572;
103;7933;4864;4333;4493;6487;3999;5989;;4482;7364;7841;7869;4426;;6476;4737;7943;8062;;;;4864;4333;5989;6487;7841;7869;8062;4493;4482;;4864;4333;5989;6487;7841;7869;8062;4493;4482;;4333;4864;6487;7841;5989;4482;4493;7933;;4493;7364;3999;4864;4482;6476;4426;5989;;6487;7933;4493;7364;;4482;6476;7933;4493;7364;;;6476;4333;7933;4493;6487;4864;;;7364;4333;7933;6487;4864;;4493;;7933;3999;4333;4864;6593;5987;;7933;
104;5560;7108;5549;8661;2956;7772;5649;6257;5532;6308;7768;7020;5510;5485;8485;8726;5539;7752;;;7772;7108;5549;5649;2956;7768;7020;5510;6308;8661;7772;7108;5549;2956;6308;7768;5649;5510;7020;8661;5649;7108;7772;2956;7020;5549;5510;6308;5560;5649;8661;2956;6257;7108;5532;6308;8726;7772;5485;8485;5649;8661;2956;5560;5532;6308;5649;8661;2956;5560;5485;6308;5649;7108;8661;2956;5560;7772;5485;6308;5649;7108;2956;5560;7772;6308;7108;7772;5560;6257;5549;7192;7655;5649;7108;
105;5754;5587;7691;8516;5770;8727;7660;7079;6221;5545;6213;8670;8641;7064;9903;8651;10094;10097;;;6213;5587;7691;7079;5770;5754;7660;8641;8670;8516;6213;5587;7691;7079;5770;5754;7660;8641;8670;8516;7079;7691;5587;5770;7660;8641;8670;8516;7691;5754;8516;5770;10097;8727;6221;5545;5587;7079;7064;9903;5754;8516;5770;7691;6221;5545;5754;8516;5770;7691;6221;5545;7079;7691;8516;5770;8641;5587;7064;5545;7079;7691;5770;8641;5587;8516;7079;8641;5754;7691;7660;7145;5786;7079;7691;
106;2959;7118;8465;2949;6251;5619;5526;6310;7230;8494;7076;7085;10116;10033;6222;7778;10037;10062;;;2959;7118;8465;2949;6251;5619;7085;10116;7230;8494;2959;7118;8465;2949;6251;5619;7085;10116;7230;8494;7118;2959;5619;2949;7076;7085;7230;6251;2959;5526;2949;6251;7118;5619;7230;8494;7076;7085;10033;6222;5526;2949;6251;2959;7230;8494;5526;2949;6251;2959;7230;8494;7118;2959;2949;6251;5619;5526;7230;8494;7118;2959;2949;5619;5526;6251;2959;7118;7778;2949;5526;;7063;2959;5526;
107;6262;8499;6252;5552;7021;7257;5825;7179;5555;5711;6277;6324;8471;7260;5814;5767;7202;9175;;;6262;8499;6252;5711;7021;7257;5825;7179;5552;5555;6262;8499;6252;7021;5711;7257;5825;7179;5552;5555;7257;6262;5711;7021;8499;6252;5555;5552;6262;7257;5552;7021;6252;8499;5555;5711;7202;5825;7260;5814;6262;5552;7021;7257;5555;5711;6262;5552;7021;7257;5555;5711;7257;6262;5552;7021;6252;8499;5555;5711;7257;6262;7021;8499;6252;5711;6277;9175;7257;7202;7179;6248;5651;6262;8499;
108;2592;7249;;6281;6276;7046;5737;7097;5527;7293;7719;8582;7775;9927;7651;7016;9965;6280;;;2592;7249;;7097;6276;7046;5737;7775;8582;7293;2592;7249;;7097;6276;7046;5737;7775;8582;7293;7249;2592;;6276;5737;7097;8582;7293;7249;2592;6281;6276;7097;;5527;7293;8582;5737;9927;7651;2592;6281;6276;7249;5527;7293;2592;6281;6276;7249;5527;7293;7249;2592;6281;6276;7097;;5527;7293;7249;2592;6276;7097;;7293;2592;7097;7249;5737;7046;7095;5551;2592;7249;
109;5602;6235;5494;6318;7122;6314;9994;5685;7708;7227;6284;;7652;5695;8710;5497;;9914;;;5602;6235;5494;7708;6318;6314;;7652;6284;8710;6314;5602;5494;7708;6318;6284;6235;7652;5497;8710;5494;5602;6314;7708;5497;6284;7652;6318;5685;5602;7227;7122;9914;5494;6318;8710;;9994;5695;7708;5602;7227;7122;5685;6318;8710;5602;7227;7122;5685;6318;8710;5494;5602;6318;7122;6314;5685;7708;8710;5494;5602;6318;6314;5685;7708;5602;6284;5685;9994;7227;10008;9912;5602;6235;
110;7210;5761;7054;5658;5812;7294;5697;8669;7049;7155;9205;;7742;5851;7252;7656;10139;;;;7210;5761;7054;5697;5812;7656;7294;8669;7155;7252;7210;5761;7054;5697;5812;7656;7294;8669;7155;7252;5697;5761;7210;5812;8669;7054;7252;7155;5761;7294;5658;5812;5697;9205;7049;7155;7054;7210;5851;7252;5761;5658;7049;7294;5851;5812;5761;5658;7049;7294;5851;5812;5697;5761;5658;5812;7054;7210;7049;7155;5697;5761;5658;7054;7210;7049;5761;7054;7210;5697;7155;5832;7251;5761;5697;
111;5609;;5673;8663;7144;4358;7782;2948;8596;7776;8657;9988;6237;;8585;9132;8630;6245;;;5609;;6237;7144;8663;4358;9988;5673;2948;7776;5609;;6237;7144;8663;4358;9988;5673;2948;7776;5609;6237;5673;7144;6245;2948;4358;8663;2948;5673;8663;7144;;5609;8596;7776;6237;6245;;8585;5673;8663;7144;2948;8596;7776;5673;8663;7144;2948;8596;7776;2948;5673;8663;7144;5609;6237;8596;7776;2948;5673;7144;5609;6237;8663;6237;2948;6245;;5673;8562;8618;5673;2948;
112;7704;7674;5523;6322;5728;5700;7274;5582;7226;7176;7766;8674;5546;8460;7268;5715;7137;8615;;;7704;7674;5523;6322;5728;5700;7274;5582;5546;7226;7704;7674;5523;6322;5728;5700;7274;5582;5546;7226;7704;5523;5728;6322;7674;5582;5546;7226;8674;5523;6322;5728;7704;8615;7226;7176;7674;5582;8460;7268;5523;6322;5728;8674;7226;7268;5523;6322;5728;8674;7226;7176;7704;5523;6322;5728;7674;5582;7226;7176;7704;5523;6322;7674;5582;5728;5523;5700;7704;5546;7176;7160;8500;5523;7704;
113;5800;5739;5836;5559;5484;7113;7741;7066;6249;8688;8563;5688;5558;5693;5733;7100;7242;;;;5800;5739;5558;7741;5559;8563;5688;5836;5693;8688;5800;5739;5558;7741;5559;8563;5688;5836;8688;5693;5739;5800;7741;5559;5558;5688;5693;8688;5836;7066;6249;5484;5800;7113;5559;5733;8563;5739;5693;8688;5836;6249;5484;7066;5559;5733;5836;6249;5484;7066;5559;5733;5739;5800;5559;5484;7066;5836;6249;8688;5739;5800;5484;7066;5836;5559;5800;7066;5739;5836;5688;8685;7673;5800;5739;
114;7026;5507;5645;7129;5489;5831;5806;10167;5623;5841;9933;5421;3861;8653;8741;8549;8627;9936;;;5831;5507;5645;10167;5489;7026;5806;3861;7129;5623;5831;5507;5645;10167;5489;7026;5806;3861;7129;5623;5831;5645;10167;5489;3861;5507;5806;7129;8627;7026;7129;5841;5645;9936;5623;5489;10167;5831;8653;8741;7026;7129;5841;8627;5623;5489;7026;7129;5841;8627;5623;5489;5645;7026;7129;5489;10167;5831;5623;5841;5645;7026;7129;10167;5831;5489;3861;5831;7026;10167;5806;5614;5611;7026;10167;
115;7245;5657;5787;5634;6226;;5744;7218;5819;5430;5627;8488;7239;;7208;7061;8739;8684;;;7245;5657;5787;5634;6226;;5744;7218;7239;5430;7245;5657;5787;5634;6226;;5744;7218;7239;5430;7245;5787;5657;5634;7218;;7239;6226;5787;7245;5634;6226;;5657;5819;5430;7218;7239;;7208;5787;5634;6226;7245;5819;5430;5787;5634;6226;7245;5819;5430;7245;5787;5634;6226;;5657;5819;5430;7245;5787;5634;;5657;6226;8684;7239;;5787;5634;7109;9106;7245;5787;
116;7278;5576;7189;7074;7676;8599;8531;6236;5850;7672;8635;8492;5505;7243;8583;10105;7171;7749;;;7278;5576;7189;7074;5850;8599;8531;5505;8492;7676;7278;5576;7189;7074;5850;8599;8531;5505;8492;7676;7278;5576;8531;7074;8492;7189;7171;5850;5576;8635;7243;8583;6236;7278;7074;7676;7749;8599;5850;7672;8635;7243;8583;5576;7074;7676;8635;7243;8583;5576;7074;7676;5576;7278;7074;7676;7189;8531;5850;7672;5576;7278;7074;7189;8531;5850;7278;5576;7171;8531;8492;6250;6326;7278;5576;
117;6200;2934;8658;5447;5797;5778;7125;9152;7136;7082;7657;8475;8458;5782;5781;9121;7722;10090;;;6200;2934;9152;5778;5797;9121;7722;10090;7082;5447;6200;2934;9152;5778;5797;9121;7722;10090;5447;7082;6200;2934;5778;5797;8458;7722;7082;5447;6200;2934;5782;5797;7125;8475;5447;7082;7657;5778;7136;5781;2934;5782;5797;6200;5447;7082;2934;5782;5797;6200;5447;7082;6200;2934;5447;5797;7125;5778;7136;7082;6200;2934;5797;7125;5778;5447;6200;2934;7657;5778;5447;5655;5492;6200;2934;
118;5835;5534;5707;2937;5701;8687;5636;5420;;7216;9120;8701;6224;8528;5599;5513;6219;8694;;;5835;5534;5420;2937;5701;9120;8701;6224;;7216;5835;5534;5420;2937;;9120;8701;6224;5701;7216;5835;5534;5420;2937;6219;8701;;5701;5707;5513;2937;5701;5534;5636;;7216;5835;8687;8528;5599;5513;2937;5701;5707;;7216;5513;2937;5701;5707;;7216;5835;5534;2937;5701;5636;5707;;7216;5835;5534;2937;5636;5707;5701;5835;5636;5420;2937;6224;8515;7050;5835;5534;
119;6267;5680;7237;7158;5490;5567;8609;8708;7126;7705;7196;5844;5616;7771;7285;7110;8570;7758;;;6267;5680;7237;7705;7158;5567;8609;8708;7196;5490;6267;5680;7237;7158;7705;5567;8609;8708;7196;5490;6267;5680;7158;7705;5567;8609;7196;5490;8708;7237;7126;5490;7758;5616;7771;7285;5680;8570;7158;7705;7237;7126;5490;8708;7771;7285;7237;7126;5490;8708;7771;7285;5680;7237;7158;5490;8708;6267;7126;7705;5680;7237;5490;8708;6267;7705;7237;7758;7285;5680;8708;8676;7678;7237;6267;
120;5722;8571;7247;2946;7686;7027;7270;7138;7080;7297;5681;7295;6220;7711;8730;8632;7696;7692;;;5722;8571;7247;2946;7686;7027;7270;7138;5681;8730;5722;8571;7247;2946;7686;7027;7270;7138;5681;8730;7247;5722;7027;2946;8571;5681;7270;7686;7247;5722;2946;7297;7692;7027;7080;7686;8571;5681;7711;8730;5722;2946;7297;7247;7080;7686;5722;2946;7297;7247;7080;8730;7247;5722;2946;7297;5681;7027;7080;7686;7247;5722;2946;5681;7027;7080;5722;7247;7027;5681;8571;6311;7141;7247;5722;
121;5777;8715;5564;7213;2941;6216;9940;6265;8473;5631;8486;8498;7732;7743;8646;;;7646;;;5777;8715;5564;2941;5631;6216;9940;7732;8646;7213;5777;8715;5564;2941;5631;6216;9940;7732;8646;7213;6216;5777;5564;2941;7732;8486;8646;5631;5777;6265;7743;2941;5564;6216;7213;5631;8486;9940;8473;8646;6265;7743;2941;5777;7213;5631;6265;7743;2941;5777;7213;5631;6216;5777;7213;2941;6265;5564;8473;5631;6216;5777;2941;6265;5564;5631;5564;2941;5777;6216;8715;8628;6319;5777;6216;
